round0:running time: 160.908, start_pos:[(9, 22), (25, 8), (7, 7)], paths length:[20, 20, 15], min_sum:55, min_max:20
round1:running time: 41.956, start_pos:[(10, 15), (18, 7), (29, 8)], paths length:[32, 22, 25], min_sum:79, min_max:32
round2:running time: 74.019, start_pos:[(6, 7), (13, 19), (11, 6)], paths length:[14, 16, 21], min_sum:51, min_max:21
round3:running time: 328.306, start_pos:[(6, 12), (16, 14), (22, 15)], paths length:[18, 15, 25], min_sum:58, min_max:25
round4:running time: 52.036, start_pos:[(20, 11), (15, 10), (18, 9)], paths length:[22, 21, 15], min_sum:58, min_max:22
round5:running time: 118.555, start_pos:[(8, 20), (25, 16), (8, 9)], paths length:[23, 24, 17], min_sum:64, min_max:24
round6:running time: 30.903, start_pos:[(23, 14), (17, 11), (22, 9)], paths length:[27, 35, 25], min_sum:87, min_max:35
round7:running time: 41.546, start_pos:[(8, 13), (27, 11), (11, 6)], paths length:[15, 22, 12], min_sum:49, min_max:22
round8:running time: 88.26, start_pos:[(8, 20), (5, 11), (23, 8)], paths length:[16, 22, 22], min_sum:60, min_max:22
round9:running time: 46.966, start_pos:[(26, 8), (25, 8), (28, 6)], paths length:[30, 26, 23], min_sum:79, min_max:30
round10:running time: 94.249, start_pos:[(11, 16), (22, 17), (21, 11)], paths length:[24, 26, 14], min_sum:64, min_max:26
round11:running time: 62.239, start_pos:[(9, 16), (10, 16), (29, 7)], paths length:[14, 11, 14], min_sum:39, min_max:14
round12:running time: 40.5, start_pos:[(17, 10), (17, 15), (25, 12)], paths length:[20, 22, 21], min_sum:63, min_max:22
round13:running time: 115.749, start_pos:[(24, 11), (20, 17), (17, 10)], paths length:[24, 22, 19], min_sum:65, min_max:24
round14:running time: 29.106, start_pos:[(8, 7), (19, 13), (18, 16)], paths length:[16, 18, 15], min_sum:49, min_max:18
round15:running time: 6.466, start_pos:[(22, 13), (12, 7), (16, 7)], paths length:[17, 26, 15], min_sum:58, min_max:26
round16:running time: 67.273, start_pos:[(12, 13), (10, 22), (22, 13)], paths length:[27, 19, 27], min_sum:73, min_max:27
round17:running time: 31.849, start_pos:[(19, 12), (18, 10), (20, 6)], paths length:[22, 22, 20], min_sum:64, min_max:22
round18:running time: 60.615, start_pos:[(8, 6), (9, 11), (26, 11)], paths length:[20, 22, 22], min_sum:64, min_max:22
round19:running time: 94.05, start_pos:[(20, 15), (11, 8), (21, 14)], paths length:[24, 20, 17], min_sum:61, min_max:24
round20:running time: 61.118, start_pos:[(7, 6), (5, 11), (5, 8)], paths length:[15, 23, 25], min_sum:63, min_max:25
round21:running time: 131.808, start_pos:[(11, 10), (19, 14), (9, 18)], paths length:[18, 19, 17], min_sum:54, min_max:19
round22:running time: 53.525, start_pos:[(11, 25), (25, 8), (6, 5)], paths length:[17, 20, 15], min_sum:52, min_max:20
round23:running time: 28.61, start_pos:[(10, 21), (9, 7), (27, 15)], paths length:[16, 17, 22], min_sum:55, min_max:22
round24:running time: 34.675, start_pos:[(13, 13), (18, 14), (24, 16)], paths length:[29, 21, 20], min_sum:70, min_max:29
round25:running time: 32.113, start_pos:[(10, 7), (26, 8), (13, 16)], paths length:[17, 23, 18], min_sum:58, min_max:23
round26:running time: 124.205, start_pos:[(16, 12), (22, 11), (7, 19)], paths length:[18, 28, 18], min_sum:64, min_max:28
round27:running time: 64.459, start_pos:[(27, 13), (19, 14), (10, 24)], paths length:[21, 23, 27], min_sum:71, min_max:27
round28:running time: 44.997, start_pos:[(9, 10), (8, 10), (20, 7)], paths length:[17, 14, 21], min_sum:52, min_max:21
round29:running time: 146.728, start_pos:[(24, 14), (24, 13), (22, 13)], paths length:[29, 29, 39], min_sum:97, min_max:39
pre-processing time:0.360s, running time:2316.362s, expansion:11799.033333333333, successful time:30, avg_max_paths_len+std:24.367Å}5.003, avg_sum_paths_len+std:62.533Å}11.741,per_exe_time:77.21205719666662
