round0:running time: 129.964, start_pos:[(9, 22), (25, 8)], paths length:[23, 34], min_sum:57, min_max:34
round1:running time: 3.357, start_pos:[(10, 15), (18, 7)], paths length:[33, 22], min_sum:55, min_max:33
round2:running time: 141.454, start_pos:[(6, 7), (13, 19)], paths length:[27, 20], min_sum:47, min_max:27
round3:running time: 324.292, start_pos:[(6, 12), (16, 14)], paths length:[35, 28], min_sum:63, min_max:35
round4:running time: 24.367, start_pos:[(20, 11), (15, 10)], paths length:[26, 34], min_sum:60, min_max:34
round5:running time: 109.146, start_pos:[(8, 20), (25, 16)], paths length:[26, 25], min_sum:51, min_max:26
round6:running time: 113.085, start_pos:[(23, 14), (17, 11)], paths length:[28, 35], min_sum:63, min_max:35
round7:running time: 222.358, start_pos:[(8, 13), (27, 11)], paths length:[36, 27], min_sum:63, min_max:36
round8:running time: 63.592, start_pos:[(8, 20), (5, 11)], paths length:[21, 28], min_sum:49, min_max:28
round9:running time: 13.569, start_pos:[(26, 8), (25, 8)], paths length:[28, 39], min_sum:67, min_max:39
round10:running time: 3.534, start_pos:[(11, 16), (22, 17)], paths length:[29, 27], min_sum:56, min_max:29
round11:running time: 55.866, start_pos:[(9, 16), (10, 16)], paths length:[31, 29], min_sum:60, min_max:31
round12:running time: 39.536, start_pos:[(17, 10), (17, 15)], paths length:[28, 31], min_sum:59, min_max:31
round13:running time: 52.63, start_pos:[(24, 11), (20, 17)], paths length:[30, 32], min_sum:62, min_max:32
round14:running time: 7.2, start_pos:[(8, 7), (19, 13)], paths length:[27, 20], min_sum:47, min_max:27
round15:running time: 28.324, start_pos:[(22, 13), (12, 7)], paths length:[25, 26], min_sum:51, min_max:26
round16:running time: 47.382, start_pos:[(12, 13), (10, 22)], paths length:[37, 28], min_sum:65, min_max:37
round17:running time: 125.087, start_pos:[(19, 12), (18, 10)], paths length:[36, 25], min_sum:61, min_max:36
round18:running time: 152.908, start_pos:[(8, 6), (9, 11)], paths length:[24, 28], min_sum:52, min_max:28
round19:running time: 10.441, start_pos:[(20, 15), (11, 8)], paths length:[23, 29], min_sum:52, min_max:29
round20:running time: 57.488, start_pos:[(7, 6), (5, 11)], paths length:[31, 20], min_sum:51, min_max:31
round21:running time: 288.861, start_pos:[(11, 10), (19, 14)], paths length:[35, 34], min_sum:69, min_max:35
round22:running time: 96.35, start_pos:[(11, 25), (25, 8)], paths length:[24, 23], min_sum:47, min_max:24
round23:running time: 868.048, start_pos:[(10, 21), (9, 7)], paths length:[32, 33], min_sum:65, min_max:33
round24:running time: 0.069, start_pos:[(13, 13), (18, 14)], paths length:[29, 20], min_sum:49, min_max:29
round25:running time: 11.271, start_pos:[(10, 7), (26, 8)], paths length:[29, 25], min_sum:54, min_max:29
round26:running time: 563.741, start_pos:[(16, 12), (22, 11)], paths length:[33, 32], min_sum:65, min_max:33
round27:running time: 55.919, start_pos:[(27, 13), (19, 14)], paths length:[33, 43], min_sum:76, min_max:43
round28:running time: 60.374, start_pos:[(9, 10), (8, 10)], paths length:[34, 32], min_sum:66, min_max:34
round29:running time: 96.081, start_pos:[(24, 14), (24, 13)], paths length:[36, 36], min_sum:72, min_max:36
pre-processing time:0.352s, running time:3769.825s, expansion:5752.566666666667, successful time:30, avg_max_paths_len+std:32.000Å}4.250, avg_sum_paths_len+std:58.467Å}7.766,per_exe_time:125.66084474666667
