round0:running time: 0.149, start_pos:[(8, 4), (4, 12), (12, 9), (2, 0)], paths length:[16, 14, 13, 30], min_sum:73, min_max:30
round1:running time: 0.115, start_pos:[(10, 10), (4, 8), (10, 4), (12, 6)], paths length:[14, 18, 20, 6], min_sum:58, min_max:20
round2:running time: 0.782, start_pos:[(1, 6), (9, 2), (1, 2), (6, 4)], paths length:[15, 13, 17, 20], min_sum:65, min_max:20
round3:running time: 0.056, start_pos:[(0, 4), (0, 11), (4, 12), (8, 3)], paths length:[14, 13, 14, 13], min_sum:54, min_max:14
round4:running time: 0.227, start_pos:[(12, 12), (6, 6), (0, 7), (11, 6)], paths length:[19, 18, 23, 12], min_sum:72, min_max:23
round5:running time: 0.108, start_pos:[(8, 8), (1, 6), (10, 10), (10, 3)], paths length:[26, 23, 6, 15], min_sum:70, min_max:26
round6:running time: 0.34, start_pos:[(8, 10), (8, 6), (0, 1), (12, 11)], paths length:[16, 17, 36, 15], min_sum:84, min_max:36
round7:running time: 0.436, start_pos:[(1, 8), (4, 4), (7, 2), (8, 3)], paths length:[21, 17, 25, 26], min_sum:89, min_max:26
round8:running time: 1.141, start_pos:[(8, 12), (8, 7), (12, 1), (2, 1)], paths length:[15, 25, 17, 18], min_sum:75, min_max:25
round9:running time: 0.07, start_pos:[(10, 10), (10, 6), (1, 8), (2, 8)], paths length:[14, 18, 19, 8], min_sum:59, min_max:19
round10:running time: 0.795, start_pos:[(7, 12), (2, 6), (10, 3), (8, 2)], paths length:[15, 14, 9, 18], min_sum:56, min_max:18
round11:running time: 0.139, start_pos:[(8, 9), (6, 0), (0, 3), (1, 4)], paths length:[17, 16, 13, 17], min_sum:63, min_max:17
round12:running time: 7.723, start_pos:[(10, 3), (2, 4), (6, 0), (8, 2)], paths length:[25, 24, 16, 16], min_sum:81, min_max:25
round13:running time: 0.141, start_pos:[(1, 8), (1, 4), (10, 10), (1, 6)], paths length:[7, 27, 14, 15], min_sum:63, min_max:27
round14:running time: 0.534, start_pos:[(12, 11), (12, 8), (0, 6), (5, 10)], paths length:[14, 21, 24, 29], min_sum:88, min_max:29
round15:running time: 0.094, start_pos:[(0, 0), (8, 12), (12, 3), (2, 12)], paths length:[14, 14, 15, 16], min_sum:59, min_max:16
round16:running time: 1.521, start_pos:[(0, 8), (2, 8), (2, 1), (12, 7)], paths length:[19, 18, 33, 16], min_sum:86, min_max:33
round17:running time: 0.814, start_pos:[(3, 2), (2, 5), (8, 12), (6, 1)], paths length:[13, 17, 14, 17], min_sum:61, min_max:17
round18:running time: 0.172, start_pos:[(10, 11), (0, 0), (2, 6), (2, 11)], paths length:[13, 26, 14, 5], min_sum:58, min_max:26
round19:running time: 0.696, start_pos:[(12, 11), (12, 0), (10, 12), (3, 6)], paths length:[17, 21, 12, 18], min_sum:68, min_max:21
round20:running time: 0.139, start_pos:[(0, 11), (0, 2), (6, 10), (8, 6)], paths length:[21, 28, 8, 8], min_sum:65, min_max:28
round21:running time: 0.072, start_pos:[(2, 6), (12, 6), (8, 3), (6, 6)], paths length:[18, 6, 17, 18], min_sum:59, min_max:18
round22:running time: 0.362, start_pos:[(3, 4), (8, 6), (8, 12), (6, 9)], paths length:[33, 9, 6, 28], min_sum:76, min_max:33
round23:running time: 0.007, start_pos:[(6, 2), (0, 10), (0, 7), (9, 12)], paths length:[18, 8, 17, 13], min_sum:56, min_max:18
round24:running time: 0.069, start_pos:[(2, 4), (10, 12), (5, 10), (6, 3)], paths length:[32, 6, 5, 19], min_sum:62, min_max:32
round25:running time: 0.113, start_pos:[(10, 2), (0, 6), (7, 0), (12, 3)], paths length:[15, 16, 26, 15], min_sum:72, min_max:26
round26:running time: 0.132, start_pos:[(0, 3), (2, 0), (12, 11), (7, 2)], paths length:[19, 17, 17, 28], min_sum:81, min_max:28
round27:running time: 0.455, start_pos:[(6, 8), (12, 10), (12, 7), (12, 4)], paths length:[32, 33, 22, 10], min_sum:97, min_max:33
round28:running time: 0.556, start_pos:[(10, 5), (12, 3), (10, 2), (8, 9)], paths length:[9, 30, 23, 17], min_sum:79, min_max:30
round29:running time: 1.218, start_pos:[(7, 12), (1, 2), (9, 8), (10, 4)], paths length:[15, 21, 24, 19], min_sum:79, min_max:24
round30:running time: 0.051, start_pos:[(2, 5), (10, 2), (7, 2), (1, 4)], paths length:[17, 14, 23, 15], min_sum:69, min_max:23
round31:running time: 7.6, start_pos:[(0, 10), (0, 1), (8, 3), (1, 2)], paths length:[14, 11, 25, 25], min_sum:75, min_max:25
round32:running time: 0.06, start_pos:[(6, 5), (0, 4), (12, 4), (9, 12)], paths length:[13, 18, 14, 13], min_sum:58, min_max:18
round33:running time: 0.198, start_pos:[(5, 2), (6, 6), (5, 10), (3, 4)], paths length:[29, 10, 7, 25], min_sum:71, min_max:29
round34:running time: 0.096, start_pos:[(0, 9), (6, 6), (4, 11), (12, 11)], paths length:[17, 20, 13, 17], min_sum:67, min_max:20
round35:running time: 3.792, start_pos:[(0, 1), (3, 0), (1, 8), (10, 8)], paths length:[21, 15, 21, 20], min_sum:77, min_max:21
round36:running time: 0.16, start_pos:[(1, 12), (6, 1), (6, 7), (0, 12)], paths length:[8, 17, 17, 23], min_sum:65, min_max:23
round37:running time: 0.375, start_pos:[(8, 6), (4, 10), (10, 5), (0, 2)], paths length:[20, 16, 13, 36], min_sum:85, min_max:36
round38:running time: 4.302, start_pos:[(2, 0), (3, 6), (2, 5), (6, 5)], paths length:[19, 11, 15, 24], min_sum:69, min_max:24
round39:running time: 1.03, start_pos:[(4, 6), (4, 4), (4, 12), (9, 12)], paths length:[20, 26, 22, 13], min_sum:81, min_max:26
round40:running time: 0.295, start_pos:[(12, 7), (12, 6), (10, 11), (6, 7)], paths length:[12, 31, 13, 25], min_sum:81, min_max:31
round41:running time: 0.08, start_pos:[(6, 0), (1, 11), (5, 10), (8, 7)], paths length:[16, 24, 7, 7], min_sum:54, min_max:24
round42:running time: 0.465, start_pos:[(7, 8), (10, 3), (6, 9), (10, 0)], paths length:[17, 31, 20, 21], min_sum:89, min_max:31
round43:running time: 0.207, start_pos:[(4, 11), (8, 6), (5, 2), (6, 2)], paths length:[18, 20, 25, 21], min_sum:84, min_max:25
round44:running time: 3.515, start_pos:[(10, 6), (0, 1), (12, 1), (10, 12)], paths length:[17, 34, 13, 12], min_sum:76, min_max:34
round45:running time: 1.533, start_pos:[(10, 4), (12, 2), (1, 6), (11, 6)], paths length:[28, 19, 23, 8], min_sum:78, min_max:28
round46:running time: 0.279, start_pos:[(0, 8), (3, 4), (12, 4), (0, 3)], paths length:[16, 19, 14, 33], min_sum:82, min_max:33
round47:running time: 0.079, start_pos:[(2, 11), (7, 8), (4, 8), (6, 7)], paths length:[7, 17, 14, 23], min_sum:61, min_max:23
round48:running time: 0.125, start_pos:[(2, 6), (6, 5), (12, 1), (9, 8)], paths length:[14, 19, 17, 19], min_sum:69, min_max:19
round49:running time: 0.061, start_pos:[(4, 6), (8, 6), (0, 9), (8, 3)], paths length:[20, 20, 7, 13], min_sum:60, min_max:20
pre-processing time:0.030s, running time:43.829s, expansion:839.9, successful time:50, avg_max_paths_len+std:25.020Å}5.598, avg_sum_paths_len+std:71.180Å}10.803,per_exe_time:0.8765755039999931
