round0:running time: 0.081, start_pos:[(8, 4), (4, 12), (12, 9)], paths length:[33, 14, 19], min_sum:66, min_max:33
round1:running time: 0.169, start_pos:[(10, 10), (4, 8), (10, 4)], paths length:[14, 25, 28], min_sum:67, min_max:28
round2:running time: 23.348, start_pos:[(1, 6), (9, 2), (1, 2)], paths length:[31, 21, 27], min_sum:79, min_max:31
round3:running time: 0.794, start_pos:[(0, 4), (0, 11), (4, 12)], paths length:[30, 21, 14], min_sum:65, min_max:30
round4:running time: 6.656, start_pos:[(12, 12), (6, 6), (0, 7)], paths length:[22, 41, 41], min_sum:104, min_max:41
round5:running time: 0.204, start_pos:[(8, 8), (1, 6), (10, 10)], paths length:[26, 31, 14], min_sum:71, min_max:31
round6:running time: 4.935, start_pos:[(8, 10), (8, 6), (0, 1)], paths length:[32, 20, 28], min_sum:80, min_max:32
round7:running time: 0.48, start_pos:[(1, 8), (4, 4), (7, 2)], paths length:[17, 42, 13], min_sum:72, min_max:42
round8:running time: 1.231, start_pos:[(8, 12), (8, 7), (12, 1)], paths length:[19, 40, 34], min_sum:93, min_max:40
round9:running time: 0.154, start_pos:[(10, 10), (10, 6), (1, 8)], paths length:[14, 26, 25], min_sum:65, min_max:26
round10:running time: 0.191, start_pos:[(7, 12), (2, 6), (10, 3)], paths length:[15, 25, 29], min_sum:69, min_max:29
round11:running time: 0.944, start_pos:[(8, 9), (6, 0), (0, 3)], paths length:[17, 16, 28], min_sum:61, min_max:28
round12:running time: 0.313, start_pos:[(10, 3), (2, 4), (6, 0)], paths length:[25, 23, 24], min_sum:72, min_max:25
round13:running time: 2.154, start_pos:[(1, 8), (1, 4), (10, 10)], paths length:[30, 30, 31], min_sum:91, min_max:31
round14:running time: 8.033, start_pos:[(12, 11), (12, 8), (0, 6)], paths length:[34, 30, 21], min_sum:85, min_max:34
round15:running time: 0.125, start_pos:[(0, 0), (8, 12), (12, 3)], paths length:[21, 14, 27], min_sum:62, min_max:27
round16:running time: 12.283, start_pos:[(0, 8), (2, 8), (2, 1)], paths length:[57, 16, 12], min_sum:85, min_max:57
round17:running time: 0.23, start_pos:[(3, 2), (2, 5), (8, 12)], paths length:[27, 24, 14], min_sum:65, min_max:27
round18:running time: 1.457, start_pos:[(10, 11), (0, 0), (2, 6)], paths length:[13, 30, 25], min_sum:68, min_max:30
round19:running time: 1.601, start_pos:[(12, 11), (12, 0), (10, 12)], paths length:[22, 43, 25], min_sum:90, min_max:43
round20:running time: 0.857, start_pos:[(0, 11), (0, 2), (6, 10)], paths length:[21, 28, 14], min_sum:63, min_max:28
round21:running time: 0.699, start_pos:[(2, 6), (12, 6), (8, 3)], paths length:[21, 25, 32], min_sum:78, min_max:32
round22:running time: 0.344, start_pos:[(3, 4), (8, 6), (8, 12)], paths length:[32, 28, 14], min_sum:74, min_max:32
round23:running time: 0.149, start_pos:[(6, 2), (0, 10), (0, 7)], paths length:[50, 7, 17], min_sum:74, min_max:50
round24:running time: 1.101, start_pos:[(2, 4), (10, 12), (5, 10)], paths length:[31, 13, 32], min_sum:76, min_max:32
round25:running time: 0.387, start_pos:[(10, 2), (0, 6), (7, 0)], paths length:[26, 23, 25], min_sum:74, min_max:26
round26:running time: 0.199, start_pos:[(0, 3), (2, 0), (12, 11)], paths length:[24, 28, 21], min_sum:73, min_max:28
