round40:running time: 0.553, start_pos:[(12, 7), (12, 6), (10, 11), (6, 7), (6, 10)], paths length:[12, 30, 13, 18, 13], min_sum:86, min_max:30
round41:running time: 0.143, start_pos:[(6, 0), (1, 11), (5, 10), (8, 7), (0, 1)], paths length:[16, 12, 7, 7, 9], min_sum:51, min_max:16
round42:running time: 0.829, start_pos:[(7, 8), (10, 3), (6, 9), (10, 0), (8, 9)], paths length:[21, 31, 7, 21, 7], min_sum:87, min_max:31
round43:running time: 0.194, start_pos:[(4, 11), (8, 6), (5, 2), (6, 2), (12, 12)], paths length:[8, 13, 24, 14, 18], min_sum:77, min_max:24
round44:running time: 0.064, start_pos:[(10, 6), (0, 1), (12, 1), (10, 12), (8, 0)], paths length:[10, 20, 3, 12, 14], min_sum:59, min_max:20
round45:running time: 0.242, start_pos:[(10, 4), (12, 2), (1, 6), (11, 6), (0, 8)], paths length:[28, 11, 15, 8, 5], min_sum:67, min_max:28
round46:running time: 0.405, start_pos:[(0, 8), (3, 4), (12, 4), (0, 3), (2, 5)], paths length:[5, 13, 14, 33, 9], min_sum:74, min_max:33
round47:running time: 0.278, start_pos:[(2, 11), (7, 8), (4, 8), (6, 7), (6, 6)], paths length:[5, 17, 14, 10, 19], min_sum:65, min_max:19
round48:running time: 0.256, start_pos:[(2, 6), (6, 5), (12, 1), (9, 8), (4, 12)], paths length:[17, 17, 17, 7, 8], min_sum:66, min_max:17
round49:running time: 0.151, start_pos:[(4, 6), (8, 6), (0, 9), (8, 3), (9, 0)], paths length:[12, 8, 6, 13, 15], min_sum:54, min_max:15
pre-processing time:0.030s, running time:32.398s, expansion:521.42, successful time:50, avg_max_paths_len+std:20.740Å}5.098, avg_sum_paths_len+std:66.000Å}10.492,per_exe_time:0.6479528819999542
