round26:running time: 1.061, start_pos:[(0, 3), (2, 0), (12, 11), (7, 2), (6, 12)], paths length:[19, 8, 17, 15, 10], min_sum:69, min_max:19
round27:running time: 0.255, start_pos:[(6, 8), (12, 10), (12, 7), (12, 4), (10, 4)], paths length:[16, 4, 32, 22, 11], min_sum:85, min_max:32
round28:running time: 0.263, start_pos:[(10, 5), (12, 3), (10, 2), (8, 9), (4, 2)], paths length:[3, 11, 24, 17, 14], min_sum:69, min_max:24
round29:running time: 0.06, start_pos:[(7, 12), (1, 2), (9, 8), (10, 4), (12, 8)], paths length:[7, 21, 7, 20, 8], min_sum:63, min_max:21
round30:running time: 0.116, start_pos:[(2, 5), (10, 2), (7, 2), (1, 4), (8, 3)], paths length:[15, 10, 23, 5, 13], min_sum:66, min_max:23
round31:running time: 5.035, start_pos:[(0, 10), (0, 1), (8, 3), (1, 2), (3, 0)], paths length:[14, 11, 13, 15, 29], min_sum:82, min_max:29
round32:running time: 0.093, start_pos:[(6, 5), (0, 4), (12, 4), (9, 12), (8, 4)], paths length:[7, 18, 6, 7, 14], min_sum:52, min_max:18
round33:running time: 0.132, start_pos:[(5, 2), (6, 6), (5, 10), (3, 4), (4, 8)], paths length:[19, 10, 7, 9, 14], min_sum:59, min_max:19
round34:running time: 0.259, start_pos:[(0, 9), (6, 6), (4, 11), (12, 11), (6, 8)], paths length:[17, 20, 8, 17, 13], min_sum:75, min_max:20
round35:running time: 0.155, start_pos:[(0, 1), (3, 0), (1, 8), (10, 8), (8, 2)], paths length:[9, 12, 11, 20, 21], min_sum:73, min_max:21
round36:running time: 0.207, start_pos:[(1, 12), (6, 1), (6, 7), (0, 12), (10, 12)], paths length:[8, 17, 9, 23, 4], min_sum:61, min_max:23
round37:running time: 0.102, start_pos:[(8, 6), (4, 10), (10, 5), (0, 2), (6, 4)], paths length:[8, 6, 15, 20, 12], min_sum:61, min_max:20
round38:running time: 0.252, start_pos:[(2, 0), (3, 6), (2, 5), (6, 5), (8, 3)], paths length:[13, 11, 13, 19, 20], min_sum:76, min_max:20
round39:running time: 0.644, start_pos:[(4, 6), (4, 4), (4, 12), (9, 12), (8, 8)], paths length:[16, 18, 18, 5, 26], min_sum:83, min_max:26
round40:running time: 0.405, start_pos:[(12, 7), (12, 6), (10, 11), (6, 7), (6, 10)], paths length:[12, 31, 13, 18, 13], min_sum:87, min_max:31
round41:running time: 0.124, start_pos:[(6, 0), (1, 11), (5, 10), (8, 7), (0, 1)], paths length:[16, 12, 7, 7, 9], min_sum:51, min_max:16
round42:running time: 0.701, start_pos:[(7, 8), (10, 3), (6, 9), (10, 0), (8, 9)], paths length:[21, 32, 7, 21, 7], min_sum:88, min_max:32
round43:running time: 2.746, start_pos:[(4, 11), (8, 6), (5, 2), (6, 2), (12, 12)], paths length:[8, 13, 25, 18, 16], min_sum:80, min_max:25
round44:running time: 0.051, start_pos:[(10, 6), (0, 1), (12, 1), (10, 12), (8, 0)], paths length:[10, 21, 3, 12, 14], min_sum:60, min_max:21
round45:running time: 0.183, start_pos:[(10, 4), (12, 2), (1, 6), (11, 6), (0, 8)], paths length:[28, 11, 15, 8, 6], min_sum:68, min_max:28
round46:running time: 0.354, start_pos:[(0, 8), (3, 4), (12, 4), (0, 3), (2, 5)], paths length:[6, 13, 14, 33, 9], min_sum:75, min_max:33
round47:running time: 0.185, start_pos:[(2, 11), (7, 8), (4, 8), (6, 7), (6, 6)], paths length:[5, 17, 14, 10, 19], min_sum:65, min_max:19
round48:running time: 0.147, start_pos:[(2, 6), (6, 5), (12, 1), (9, 8), (4, 12)], paths length:[18, 17, 17, 7, 8], min_sum:67, min_max:18
round49:running time: 0.123, start_pos:[(4, 6), (8, 6), (0, 9), (8, 3), (9, 0)], paths length:[12, 8, 7, 13, 15], min_sum:55, min_max:15
pre-processing time:0.030s, running time:29.928s, expansion:589.7, successful time:50, avg_max_paths_len+std:21.140Å}5.150, avg_sum_paths_len+std:66.920Å}10.524,per_exe_time:0.5985636599999998
