round0:running time: 1.032, start_pos:[(8, 4), (4, 12)], paths length:[57, 14], min_sum:71, min_max:57
round1:running time: 0.924, start_pos:[(10, 10), (4, 8)], paths length:[42, 32], min_sum:74, min_max:42
round2:running time: 2.394, start_pos:[(1, 6), (9, 2)], paths length:[31, 47], min_sum:78, min_max:47
round3:running time: 2.857, start_pos:[(0, 4), (0, 11)], paths length:[62, 21], min_sum:83, min_max:62
round4:running time: 3.39, start_pos:[(12, 12), (6, 6)], paths length:[42, 45], min_sum:87, min_max:45
round5:running time: 2.469, start_pos:[(8, 8), (1, 6)], paths length:[46, 33], min_sum:79, min_max:46
round6:running time: 95.972, start_pos:[(8, 10), (8, 6)], paths length:[40, 43], min_sum:83, min_max:43
round7:running time: 2.962, start_pos:[(1, 8), (4, 4)], paths length:[25, 66], min_sum:91, min_max:66
round8:running time: 19.441, start_pos:[(8, 12), (8, 7)], paths length:[66, 14], min_sum:80, min_max:66
round9:running time: 0.355, start_pos:[(10, 10), (10, 6)], paths length:[14, 49], min_sum:63, min_max:49
round10:running time: 1.386, start_pos:[(7, 12), (2, 6)], paths length:[43, 32], min_sum:75, min_max:43
round11:running time: 1.473, start_pos:[(8, 9), (6, 0)], paths length:[17, 55], min_sum:72, min_max:55
round12:running time: 1.794, start_pos:[(10, 3), (2, 4)], paths length:[45, 31], min_sum:76, min_max:45
round13:running time: 19.368, start_pos:[(1, 8), (1, 4)], paths length:[63, 25], min_sum:88, min_max:63
round14:running time: 3.797, start_pos:[(12, 11), (12, 8)], paths length:[42, 44], min_sum:86, min_max:44
round15:running time: 0.763, start_pos:[(0, 0), (8, 12)], paths length:[29, 42], min_sum:71, min_max:42
round16:running time: 9.393, start_pos:[(0, 8), (2, 8)], paths length:[70, 26], min_sum:96, min_max:70
round17:running time: 0.42, start_pos:[(3, 2), (2, 5)], paths length:[53, 32], min_sum:85, min_max:53
round18:running time: 0.732, start_pos:[(10, 11), (0, 0)], paths length:[41, 29], min_sum:70, min_max:41
round19:running time: 2.49, start_pos:[(12, 11), (12, 0)], paths length:[38, 44], min_sum:82, min_max:44
round20:running time: 2.573, start_pos:[(0, 11), (0, 2)], paths length:[21, 60], min_sum:81, min_max:60
round21:running time: 1.542, start_pos:[(2, 6), (12, 6)], paths length:[32, 40], min_sum:72, min_max:40
round22:running time: 1.529, start_pos:[(3, 4), (8, 6)], paths length:[32, 48], min_sum:80, min_max:48
round23:running time: 0.52, start_pos:[(6, 2), (0, 10)], paths length:[50, 26], min_sum:76, min_max:50
round24:running time: 1.07, start_pos:[(2, 4), (10, 12)], paths length:[31, 40], min_sum:71, min_max:40
round25:running time: 1.531, start_pos:[(10, 2), (0, 6)], paths length:[46, 30], min_sum:76, min_max:46
round26:running time: 0.157, start_pos:[(0, 3), (2, 0)], paths length:[20, 56], min_sum:76, min_max:56
round27:running time: 1.354, start_pos:[(6, 8), (12, 10)], paths length:[39, 40], min_sum:79, min_max:40
round28:running time: 3.744, start_pos:[(10, 5), (12, 3)], paths length:[40, 39], min_sum:79, min_max:40
round29:running time: 0.663, start_pos:[(7, 12), (1, 2)], paths length:[15, 62], min_sum:77, min_max:62
round30:running time: 3.262, start_pos:[(2, 5), (10, 2)], paths length:[32, 46], min_sum:78, min_max:46
round31:running time: 3.669, start_pos:[(0, 10), (0, 1)], paths length:[22, 61], min_sum:83, min_max:61
round32:running time: 1.926, start_pos:[(6, 5), (0, 4)], paths length:[51, 29], min_sum:80, min_max:51
round33:running time: 0.578, start_pos:[(5, 2), (6, 6)], paths length:[58, 18], min_sum:76, min_max:58
round34:running time: 0.981, start_pos:[(0, 9), (6, 6)], paths length:[29, 50], min_sum:79, min_max:50
round35:running time: 0.184, start_pos:[(0, 1), (3, 0)], paths length:[28, 57], min_sum:85, min_max:57
round36:running time: 2.158, start_pos:[(1, 12), (6, 1)], paths length:[25, 49], min_sum:74, min_max:49
round37:running time: 71.505, start_pos:[(8, 6), (4, 10)], paths length:[43, 40], min_sum:83, min_max:43
round38:running time: 0.158, start_pos:[(2, 0), (3, 6)], paths length:[56, 24], min_sum:80, min_max:56
round39:running time: 2.635, start_pos:[(4, 6), (4, 4)], paths length:[23, 66], min_sum:89, min_max:66
round40:running time: 3.942, start_pos:[(12, 7), (12, 6)], paths length:[40, 40], min_sum:80, min_max:40
round41:running time: 2.684, start_pos:[(6, 0), (1, 11)], paths length:[48, 24], min_sum:72, min_max:48
round42:running time: 1.04, start_pos:[(7, 8), (10, 3)], paths length:[17, 52], min_sum:69, min_max:52
round43:running time: 8.583, start_pos:[(4, 11), (8, 6)], paths length:[20, 68], min_sum:88, min_max:68
round44:running time: 1.007, start_pos:[(10, 6), (0, 1)], paths length:[42, 28], min_sum:70, min_max:42
round45:running time: 2.58, start_pos:[(10, 4), (12, 2)], paths length:[39, 40], min_sum:79, min_max:40
round46:running time: 2.972, start_pos:[(0, 8), (3, 4)], paths length:[24, 65], min_sum:89, min_max:65
round47:running time: 1.185, start_pos:[(2, 11), (7, 8)], paths length:[23, 47], min_sum:70, min_max:47
round48:running time: 0.747, start_pos:[(2, 6), (6, 5)], paths length:[32, 53], min_sum:85, min_max:53
round49:running time: 0.955, start_pos:[(4, 6), (8, 6)], paths length:[30, 48], min_sum:78, min_max:48
pre-processing time:0.032s, running time:300.862s, expansion:53.38, successful time:50, avg_max_paths_len+std:50.900Å}8.785, avg_sum_paths_len+std:78.880Å}6.562,per_exe_time:6.017239066000038
